task_id,description,url,final_score,deterministic_score,gemini_score,penalty,explanation,detected_data_level,contains_individual_data,court_safe,used_for_voting_day
district_voters,Number of voters by district (aggregate),https://www.eci.gov.in/Documents/Final-ER-FAQ.pdf,0.363,0.833,0.1,0.2,"The document describes the process of updating electoral rolls and the involvement of political parties. While it mentions 'electors' and 'roll', it does not provide any aggregate data on the number of voters by district. The focus is on the procedural aspects of roll revision and transparency measures, not on data tabulation.",unclear,no,yes,no
district_voters,Number of voters by district (aggregate),https://ceo.gujarat.gov.in/ViewFile?fileName=OdeIrKRLMbeufDueN4gvPuRr59978xnP3YzyefEDSEm2Wpcz1HNHASH__HASHdrUmd1GBzvkRjgveWQ5tas4hNO879PswhHASH_HASHMQtnWxezpdn3Quo0jJabljfEHASH__HASHHASH__HASH715OANPKIbCuo3cYxPZhWnWHASH__HASHNDHASH__HASH6Xt6aJIdDLg==,0.683,0.833,0.7,0.0,"The document provides district-level electoral roll data, including total electors, male electors, and female electors, for the Jamnagar district. It also offers constituency-wise breakdowns of electors within the district. While it doesn't give a single aggregate number for 'voters by district' in the most direct way, it contains the necessary components to derive this information at the district level. The data is from an official electoral roll status analysis.",district,no,yes,no
district_voters,Number of voters by district (aggregate),https://elections24.eci.gov.in/docs/ZizaIySTAE.pdf,0.333,0.833,0.0,0.0,AI evaluation skipped (dry run or empty document).,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://ceo.gujarat.gov.in/ViewFile?fileName=OdeIrKRLMbeufDueN4gvPuRr59978xnP3YzyefEDSElaO62tI43DPHASH__HASHeymSMi9hT6LWos083oVmOqzsqH3PJJ68Fu4Vm15fbgQfbGHp1G9KYom5J8iVLXV4qe31JrbSDI,0.733,0.833,0.8,0.0,"The document provides electoral roll status updates and statistical analysis for the Tapi District in Gujarat for the 2012 State Legislative Assembly Elections. It explicitly lists 'Total Electors' for the State and for Tapi District across different years (2010, 2011, 2012). The task is to find the number of voters by district, and this document provides this data at the district level. While it also provides constituency-level data, the district aggregate is present. The key terms 'electors', 'district', and 'roll' are all present.",district,no,yes,no
district_voters,Number of voters by district (aggregate),https://www.ceoandaman.nic.in/election/ActionPlan/UT%20PROFILE%20ANI%202024.pdf,0.683,0.833,0.7,0.0,"The document provides detailed electoral roll statistics, including the number of electors by gender and status (General, Service, Overseas, PwDs, 80+ Age) as of specific dates. It also mentions population data at the district level from Census 2011 and projected population. Crucially, it states 'Total District 1.45%' for the percentage increase of electors from the draft roll to the final roll. While the total number of electors for the parliamentary constituency is provided, and the document lists the districts and tehsils within that constituency, it does not explicitly break down the *number of electors by each specific district*. The data is presented at the parliamentary constituency level with sub-district information (tehsils) but not an aggregate number of electors per district.",district,no,yes,no
district_voters,Number of voters by district (aggregate),https://rti.eci.gov.in/public/download/disclosure/6.pdf,0.333,0.833,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://hindi.eci.gov.in/files/file/3351-special-summary-revision-of-electoral-rolls-in-165-assembly-constituencies-not-affected-by-tsunami-in-tamil-nadu-2005/?do=download&r=7753&confirm=1&t=1&csrfKey=425f0a7bd224c683a48636da03993947,0.267,0.667,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://www.eci.gov.in/eci-backend/public/api/download?url=LMAhAK6sOPBp%2FNFF0iRfXbEB1EVSLT41NNLRjYNJJP1KivrUxbfqkDatmHy12e%2FzVx8fLfn2ReU7TfrqYobgIvZ0n19tFMJzYNUMlQdr0LSqdxInuthjtzMEf7FQu2OqdtjQjVSaWEoXcHWTWtuQ2UVk4VB4Sl65%2BgZZOXFvTbY%3D,0.267,0.667,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://hindi.eci.gov.in/files/file/3587-sveep-plan-of-west-bengal/?do=download&r=8393&confirm=1&t=1&csrfKey=99a7ea0537dc453570fc035a30568ad2,0.267,0.667,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://cdnbbsr.s3waas.gov.in/s31c6a0198177bfcc9bd93f6aab94aad3c/uploads/2022/06/2022061399-2.pdf,0.267,0.667,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://ceoassam.nic.in/summary/2026/Special_Revision_Schedule-2026.pdf,0.267,0.667,0.0,0.0,AI evaluation skipped (dry run or empty document).,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://elections24.eci.gov.in/docs/3GLQ7fJO8Q.pdf,0.267,0.667,0.0,0.0,AI evaluation skipped (dry run or empty document).,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://cms.tn.gov.in/cms_migrated/document/docfiles/public_elections_e_pn_2024_25.pdf,0.267,0.667,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://ceoodisha.nic.in/docs/EROLL_ANALYSIS/FORMAT1TO8_DRAFT_2021/Format3A.pdf,0.267,0.667,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://www.ceoandaman.nic.in/election/downloads/RTI-information.pdf,0.267,0.667,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://hindi.eci.gov.in/files/file/4000-%E0%A4%85%E0%A4%B8%E0%A4%AE-%E0%A4%B5%E0%A4%BF%E0%A4%A7%E0%A4%BE%E0%A4%A8%E0%A4%B8%E0%A4%AD%E0%A4%BE-%E0%A4%A8%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%9A%E0%A4%A8-1985/?do=download&r=9481&confirm=1&t=1&csrfKey=b46f25cdcba93faea0d0a52448d2ed27,0.2,0.5,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://hindi.eci.gov.in/files/file/3188-%E0%A4%AA%E0%A4%B6%E0%A5%8D%E0%A4%9A%E0%A4%BF%E0%A4%AE-%E0%A4%AC%E0%A4%82%E0%A4%97%E0%A4%BE%E0%A4%B2-%E0%A4%B5%E0%A4%BF%E0%A4%A7%E0%A4%BE%E0%A4%A8%E0%A4%B8%E0%A4%AD%E0%A4%BE-%E0%A4%A8%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%9A%E0%A4%A8-%E0%A4%95%E0%A4%BE-%E0%A4%B8%E0%A4%BE%E0%A4%82%E0%A4%96%E0%A5%8D%E0%A4%AF%E0%A4%BF%E0%A4%95%E0%A5%80%E0%A4%AF-%E0%A4%A1%E0%A5%87%E0%A4%9F%E0%A4%BE-1977/?do=download&r=7313&confirm=1&t=1&csrfKey=14614dd997d1f0f15263eeb3d59ce2cd,0.2,0.5,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
form6_additions,Addition requests (Form 6) by constituency,https://hindi.eci.gov.in/files/file/4765-special-drive-to-enrol-left-out-electors-giving-focus-on-first-time-electors-young-indian-citizens-in-the-age-group-of-18-19-extendable-to-21-years/?do=download&r=11332&confirm=1&t=1&csrfKey=02e4d4de0f125e7cb27da44f8a075944,0.267,0.667,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
form6_additions,Addition requests (Form 6) by constituency,https://ceotelangana.nic.in/Current%20Issues/Memo_No_2769.pdf,0.267,0.667,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
form6_additions,Addition requests (Form 6) by constituency,"https://upload.indiacode.nic.in/showfile?actid=AC_CEN_3_20_00016_195043_1517807321506&type=rule&filename=registration%20of%20electors%20rules,%201960.pdf",0.267,0.667,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
form6_additions,Addition requests (Form 6) by constituency,https://www.ceomanipur.nic.in/Documents/PressNote/2023-2024/Minutes%20of%20Meeting%20with%20DEOs%20&%20EROs%20on%2025th%20Oct%202023.pdf,0.267,0.667,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
form6_additions,Addition requests (Form 6) by constituency,https://ceomanipur.nic.in/documents/gazette_notice_extension_form_submittion.pdf,0.267,0.667,0.0,0.0,AI evaluation skipped (dry run or empty document).,unknown,no,yes,no
form6_additions,Addition requests (Form 6) by constituency,https://ceodelhi.gov.in/PDFFolder/FAQs%20reg.%20SSR-2023.pdf,0.267,0.667,0.0,0.0,AI evaluation skipped (dry run or empty document).,unknown,no,yes,no
form6_additions,Addition requests (Form 6) by constituency,https://www.ceogoa.nic.in/pdf/SSRSchedule2025.pdf,0.267,0.667,0.0,0.0,AI evaluation skipped (dry run or empty document).,unknown,no,yes,no
form6_additions,Addition requests (Form 6) by constituency,https://hindi.eci.gov.in/files/file/3487-%E0%A4%87%E0%A4%82%E0%A4%A1%E0%A5%87%E0%A4%95%E0%A5%8D%E0%A4%B8-%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%A1-%E0%A4%94%E0%A4%B0-%E0%A4%B8%E0%A4%BE%E0%A4%82%E0%A4%96%E0%A5%8D%E0%A4%AF%E0%A4%BF%E0%A4%95%E0%A5%80%E0%A4%AF-%E0%A4%B0%E0%A4%BF%E0%A4%AA%E0%A5%8B%E0%A4%B0%E0%A5%8D%E0%A4%9F-%E0%A4%9C%E0%A4%A8%E0%A4%B0%E0%A5%87%E0%A4%B6%E0%A4%A8-%E0%A4%B5%E0%A5%87%E0%A4%AC%E0%A4%B8%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%BF%E0%A4%B8/?do=download&r=8177&confirm=1&t=1&csrfKey=87a3881ca1895eb7971dea977e96beb9,0.2,0.5,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
form6_additions,Addition requests (Form 6) by constituency,https://elections24.eci.gov.in/docs/WYKXFehhEH.pdf,0.2,0.5,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
form6_additions,Addition requests (Form 6) by constituency,https://voters.eci.gov.in/guidelines/Form-6_en.pdf,0.2,0.5,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
form6_additions,Addition requests (Form 6) by constituency,https://ceoelection.bihar.gov.in/forms/Form-6-English.pdf,0.2,0.5,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
form6_additions,Addition requests (Form 6) by constituency,https://arunachalipr.gov.in/wp-content/uploads/2025/05/circular-public-interest.pdf,0.2,0.5,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
voter_migration,Voter migration / transposition data,https://www.ceojk.nic.in/pdf/ERO_Handbook.pdf,0.3,0.75,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
voter_migration,Voter migration / transposition data,https://www.elections.tn.gov.in/pdf/SLATender_21stOct2014_old.pdf,0.3,0.75,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
voter_migration,Voter migration / transposition data,https://ceojk.nic.in/pdf/Handbook15.11.2019.pdf,0.3,0.75,0.0,0.0,AI evaluation skipped (dry run or empty document).,unknown,no,yes,no
voter_migration,Voter migration / transposition data,https://www.ceogoa.nic.in/pdf/HELP/Form%208A.pdf,0.3,0.75,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
voter_migration,Voter migration / transposition data,https://ceomeghalaya.nic.in/blos/blos-handbook.pdf,0.3,0.75,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
voter_migration,Voter migration / transposition data,https://www.eci.gov.in/eci-backend/public/api/download?url=LMAhAK6sOPBp%2FNFF0iRfXbEB1EVSLT41NNLRjYNJJP1KivrUxbfqkDatmHy12e%2FzVx8fLfn2ReU7TfrqYobgIvkt%2F4cwcIR1cIt8JVa3E8pV%2BmDCxcFKLzmGHz154Ntca6LxngxT72Tosws0bsKtkZ0CHdDuRQ%2BYlG%2BZVrkBig2BKLe53TXHKmos4cVe003C,0.3,0.75,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
voter_migration,Voter migration / transposition data,https://ceo.gujarat.gov.in/ViewFile?fileName=qIVDIWgqsxUFjfAfS85D6upT9rI7S9NDI7i6jyJ4Z2wgHASH__HASHjZNS8ptbU1O4KTd1RGxy9HASH_HASH5gdN2h1YCg3bS6q9j1gOW3EOindVCVKmFeRqfukHHASH__HASHSA6yZPrj7r1dFvoqGUo5mnNTkBs2SEodDHXtic2I1g==,0.3,0.75,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
voter_migration,Voter migration / transposition data,"https://upload.indiacode.nic.in/showfile?actid=AC_CEN_3_20_00016_195043_1517807321506&type=rule&filename=1._registration_of_electors_rules,_1960_pages_1_to_52.pdf",0.3,0.75,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
voter_migration,Voter migration / transposition data,https://hindi.eci.gov.in/files/file/3481-%E0%A4%B2%E0%A5%8B%E0%A4%95-%E0%A4%B6%E0%A4%BF%E0%A4%95%E0%A4%BE%E0%A4%AF%E0%A4%A4-%E0%A4%A8%E0%A4%BF%E0%A4%B5%E0%A4%BE%E0%A4%B0%E0%A4%A3-%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%A3%E0%A4%BE%E0%A4%B2%E0%A5%80/?do=download&r=8165&confirm=1&t=1&csrfKey=494507c4fe3c7d70a2f81eb18c9a801b,0.3,0.75,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
voter_migration,Voter migration / transposition data,https://secap.nic.in/docs/Rules/PR_Preparation_of_Elec_rules2002.pdf,0.3,0.75,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
voter_migration,Voter migration / transposition data,https://dhsfw.assam.gov.in/sites/default/files/swf_utility_folder/departments/dirfw_lipl_in_oid_5/menu/document/IPPI%20Guide%20_0_0_0.pdf,0.2,0.5,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
voter_migration,Voter migration / transposition data,https://commerce.gov.in/wp-content/uploads/2023/05/INDIA-KOREA-CEPA-2009.pdf,0.2,0.5,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
voter_migration,Voter migration / transposition data,https://cgda.nic.in/ifa/circulars/No.IFA-240417.pdf,0.18,0.5,0.0,0.2,"The document describes the General Financial Rules (GFRs) of the Government of India, focusing on financial management, budgeting, procurement, and accounting. It details the evolution and contents of these rules, including various chapters and forms. There is no mention or data related to voter migration or transposition.",unclear,no,yes,no
voter_migration,Voter migration / transposition data,https://ceoassam.nic.in/handbook/handbook-for-BLO-english-2011.pdf,0.28,0.5,0.2,0.2,"The document is a handbook for Booth Level Officers (BLOs) and outlines their duties in preparing and revising electoral rolls. While it mentions 'migration' and 'shifting' of voters as an area of focus for BLOs during house-to-house visits to identify dead/shifted/duplicate voters, it does not provide any aggregate data on voter migration or transposition. The information is procedural and focused on the role of an individual officer rather than providing statistical insights into migration patterns.",unclear,no,yes,no
voter_migration,Voter migration / transposition data,https://www.uscis.gov/sites/default/files/document/forms/i-129instr.pdf,0.145,0.35,0.05,0.2,"The document discusses immigration forms and procedures for nonimmigrant workers entering the U.S. It mentions classifications like H-1B, L-1, and O-1, and the process of petitioning USCIS for these workers. While it touches on the movement of individuals into the U.S., it does not contain any data or discussion relevant to voter migration or transposition within the context of elections. The keywords 'migration' and 'transposition' appear, but in the context of alien classifications and addresses, not voter registration.",unclear,no,yes,no
voter_migration,Voter migration / transposition data,https://www.ilo.org/media/211571/download,0.29,0.35,0.3,0.0,"The document discusses international labour migration statistics at a global and regional level. While it mentions 'migration' and 'transposition' (in the context of data collection and harmonization), the primary focus is on international labor movements and the development of statistical standards, not on domestic voter transposition or migration within a specific electoral context. The data is aggregate but at a global/international level, which is less relevant to electoral roll data.",global/international,no,yes,no
voter_migration,Voter migration / transposition data,https://www.epa.gov/system/files/documents/2024-05/tsca-8a7-reporting-instructions_may2024.pdf,0.02,0.1,0.0,0.2,"The document provides instructions for reporting PFAS chemicals under the Toxic Substances Control Act (TSCA). It details reporting requirements, data submission procedures, and information categories to be reported, such as chemical identification, uses, manufacturing, byproducts, environmental and health effects, worker exposure, and disposal. However, it does not contain any information related to voter migration or transposition. The keywords 'migration' and 'transposition' are not present in the text in relation to electoral data.",unclear,no,yes,no
sir_2002,Special Intensive Revision 2002 data,https://www.eci.gov.in/eci-backend/public/api/download?url=LMAhAK6sOPBp/NFF0iRfXbEB1EVSLT41NNLRjYNJJP1KivrUxbfqkDatmHy12e/zX/LARKC1lI3JwqUiIIk3e9a5deFn8sYeCGEvmhY1eKxnvxsalQ0d0BNaW1QGwL8b5dWfC0v6WB9pbj6BhsnOvg==,0.683,0.833,0.7,0.0,"The document explicitly mentions the Special Intensive Revision (SIR) and refers to the previous SIR conducted in 2002-2004 as a reference point for the current revision process. It discusses the need for revision due to changes that occurred since the last SIR and outlines processes that involve matching electors with details from the 'last SIR held in 2002-2004'. While the primary focus is on a future revision (2025-2026), it heavily references the 2002-2004 SIR. The document is primarily instructional and procedural, rather than providing specific data points from the 2002 SIR itself. The score is lowered because it's more about the *process* that used the 2002 data, not the 2002 data itself.",national,no,yes,no
sir_2002,Special Intensive Revision 2002 data,https://www.elections.tn.gov.in/SIR2026/FAQ_English.pdf,0.413,0.833,0.2,0.2,"The document discusses the process of Special Intensive Revision (SIR) and mentions 'SIR 2002/2005' in the context of searching for existing voter details. However, the primary focus of the document is on a future SIR process scheduled for 2025-2026. It does not contain specific data from the 2002 revision, but rather references it as a historical period for which search facilities might be available. The information is about the *process* of SIR, not the *data* from the 2002 revision itself.",unclear,no,yes,no
sir_2002,Special Intensive Revision 2002 data,https://elections.tn.gov.in/SIR2026/Previous%20SIR-Search%20faclity-English.pdf,0.733,0.833,0.8,0.0,"The document explicitly mentions 'Special Intensive Revision 2002' and 'SIR 2002' multiple times. It describes the distribution of forms and the availability of a public search facility for electoral roll data from this revision in Tamil Nadu. The score is high because it directly addresses the required keywords and the core topic of the 2002 revision. It's not a perfect 1.0 because it focuses on the search facility and process rather than raw data tables, and it is specific to one state.",state,no,yes,no
sir_2002,Special Intensive Revision 2002 data,https://hindi.eci.gov.in/files/file/3133-revision-of-electoral-rolls-in-tamil-nadu-with-112005-as-qualifying-date/?do=download&r=7204&confirm=1&t=1&csrfKey=17b178fe222dc8d467373c0f24eb4efb,0.683,0.833,0.7,0.0,"The document is highly relevant because it explicitly mentions the 'intensive revision of electoral rolls carried out in 2002' and discusses issues and shortcomings related to it. The keywords 'SIR', '2002', and 'revision' are present. The score is slightly reduced because the primary focus of the press note is the upcoming revision in 2005, using the 2002 revision as a point of reference for problems identified.",state,no,yes,no
sir_2002,Special Intensive Revision 2002 data,https://ceodelhi.gov.in/PDFFolders/2025/SIR2025_17sept2025_English.pdf,0.733,0.833,0.8,0.0,"The document explicitly mentions the 'Special Intensive Revision (SIR) of Electoral Rolls' and specifically refers to the 'Special Intensive Revision 2002'. It states that the voter list of the Special Intensive Revision 2002 has been uploaded to the CEO Delhi website. The document is a press note from the Office of the Chief Electoral Officer, Delhi, detailing preparations and public information related to a revision process that references the 2002 SIR. The score is slightly reduced because the document is about a press note *regarding* the 2002 SIR data, rather than the raw data itself, and it's from 2025 referencing older data.",state,no,yes,no
sir_2002,Special Intensive Revision 2002 data,https://hindi.eci.gov.in/files/file/3104-revision-of-electoral-rolls-wrt-01-01-2005-as-the-qualifying-date/?do=download&r=7146&confirm=1&t=1&csrfKey=96a1b734dc8cd4ff25152531ad16a486,0.433,0.833,0.2,0.0,"The document discusses electoral roll revisions for 2005, referencing past revisions in 2002 and 2003. However, it does not provide specific data from the 2002 Special Intensive Revision (SIR) itself, but rather uses it as a point of reference for the ongoing 2005 revisions. The keywords 'SIR' and '2002' are present, but the core focus is on the 2005 revision schedule and procedures.",national,no,yes,no
sir_2002,Special Intensive Revision 2002 data,https://www.ceoandaman.nic.in/election/E-ROLL-2002/AllPdf/361.pdf,0.833,0.833,1.0,0.0,"The document explicitly states 'Special Intensive Revision 2002' and provides details of the revision process, including the year, type, and qualifying date. It contains a final electoral roll with specific voter details from 2002. This directly matches the task requirements for SIR 2002 data.",constituency,no,yes,no
sir_2002,Special Intensive Revision 2002 data,https://www.eci.gov.in/sir/f1/S05/data/OLDSIRROLL/S05/12/S05_12_11.pdf,0.833,0.833,1.0,0.0,"The document directly references 'Electoral Roll, 2002' and details the 'Special Intensive Revision 2002' process, aligning perfectly with the task requirements. It provides granular information about an electoral roll from Goa, including revision details, polling station information, and a list of electors with their details. The keywords 'SIR', '2002', and 'revision' are present.",constituency,no,yes,no
sir_2002,Special Intensive Revision 2002 data,https://ceogoa.nic.in/pdf/SIR2026/SIR_PN2.pdf,0.467,0.667,0.4,0.0,"The document discusses a Special Intensive Revision (SIR) of electoral rolls in Goa. While it mentions that the last intensive revision for Goa was conducted in 2002, the primary focus is on a future revision scheduled for 2026. The task specifically requires data from the 2002 revision. Therefore, the relevance is limited as it only serves as a historical reference point and does not provide data from that specific revision.",state,no,yes,no
sir_2002,Special Intensive Revision 2002 data,https://hindi.eci.gov.in/files/file/3795-%E0%A4%9C%E0%A4%AE%E0%A5%8D%E0%A4%AE%E0%A5%82-%E0%A4%94%E0%A4%B0-%E0%A4%95%E0%A4%B6%E0%A5%8D%E0%A4%AE%E0%A5%80%E0%A4%B0-%E0%A4%B5%E0%A4%BF%E0%A4%A7%E0%A4%BE%E0%A4%A8%E0%A4%B8%E0%A4%AD%E0%A4%BE-%E0%A4%A8%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%9A%E0%A4%A8-%E0%A4%95%E0%A4%BE-%E0%A4%B8%E0%A4%BE%E0%A4%82%E0%A4%96%E0%A5%8D%E0%A4%AF%E0%A4%BF%E0%A4%95%E0%A5%80%E0%A4%AF-%E0%A4%A1%E0%A5%87%E0%A4%9F%E0%A4%BE-2002/?do=download&r=8932&confirm=1&t=1&csrfKey=a0937f8fa9be880ce36d3da847ae0b87,0.667,0.667,0.8,0.0,"The document is a statistical report on the general election of 2002 to the Legislative Assembly of Jammu & Kashmir. It contains comprehensive data regarding participating parties, successful candidates, performance of political parties, candidate summaries, and elector data. The keywords SIR and 2002 are present, and the focus is on a revision. While it doesn't explicitly use the term 'Special Intensive Revision', the context of a general election report from 2002 strongly implies it is related to electoral data updates or processes that would be part of such a revision. The data is granular at the constituency level and also provides state-level summaries. It's not anecdotal or media-based, but rather an official report.",state,no,yes,no
sir_2002,Special Intensive Revision 2002 data,https://ceodelhi.gov.in/WriteReadData/Landmark%20Judgments/LandmarkJudgementsVOLIV.pdf,0.297,0.667,0.1,0.2,"The document is a compilation of landmark judgments on election law, published in 2006. While it contains judgments from 2002, it does not contain data related to the Special Intensive Revision (SIR) of 2002. The document focuses on legal interpretations and judicial decisions, not electoral roll data or revision processes. The mention of '2002' is incidental to the dates of court decisions.",unclear,no,yes,no
sir_2002,Special Intensive Revision 2002 data,https://www.eci.gov.in/sir/f1/S05/data/OLDSIRROLL/S05/24/S05_24_20.pdf,0.767,0.667,1.0,0.0,"The document directly references 'Electoral Roll, 2002' and specifies 'Special Intensive Revision' in the first section. It provides detailed information about the revision year (2001), qualifying date (01-01-2002), and final publication date (31-01-2002), which are key indicators of the Special Intensive Revision (SIR) 2002. The document then lists individual electors with their details, confirming it is from an electoral roll.",state,no,yes,no
sir_2002,Special Intensive Revision 2002 data,https://www.eci.gov.in/eci-backend/public/all_files/full-statistical-reports/mp/2023/Other_Abbreviations_And_Description.pdf,0.23,0.5,0.1,0.2,The document is about the 2023 Madhya Pradesh legislative assembly elections and includes general abbreviations and formulas used in election reports. It does not contain any information directly related to the Special Intensive Revision 2002 (SIR 2002) or its data.,unclear,no,yes,no
